,축제명,주소,연락처,시작일,종료일,위도,경도
0,가락몰 페스티벌 2019,서울특별시 송파구 양재대로 932,02-3435-1000,2019-10-11,2019-10-12,37.4960925880,127.1109831778
1,가리왕산 MUSIC FESTIVAL 2020,강원도 정선군 북평면 중봉길 41-35,033-560-3016,2020-08-21,2020-08-22,37.4742535268,128.6097538017
2,가야문화축제 2020,경상남도 김해시 가야의길 126,055-330-3958,2020-10-29,2020-11-01,35.2360687598,128.8731002475
3,"가을 밀양강 오딧세이 ""아리랑 환타지! 밀양!"" 2019",경상남도 밀양시 중앙로 324 영남루 및 밀양강 야외 공연장 일대,055-359-4527,2019-10-18,2019-10-19,35.4921350361,128.7552590901
4,가을 화담숲 단풍 축제 2019,경기도 광주시 도척면 도척윗로 278,031-8026-6666,2019-10-12,2019-11-10,37.3374836915,127.2922239974
5,가을맥주페스타 2019,"부산광역시 부산진구 서면문화로 32 3,4층",070-4880-2678,2019-09-26,2019-09-29,35.1599862176,129.0563669161
6,가족사랑 걷기대회 2019,부산광역시 사하구 낙동남로1233번길 1,"낙동강문화관 (연락처) 051-292-1042, 사하구건강가정지원센터 (연락처) 051-203-4588",2019-09-28,2019-09-28,35.1083149990,128.9474472484
7,가족사랑 아이스축제 2019,대구광역시 서구 문화로 122,053-663-2184,2019-07-27,2019-07-27,35.8736186548,128.5454780875
8,가족여행과 함께하는 고성 오션투유 삼포해수욕장 연날리기 축제 2019,강원도 고성군 죽왕면 삼포리 1-1,1666-5683,2019-01-01,2019-12-31,38.3128520737,128.5370623742
9,"가좌아트위크 '잠시, 쉬어가좌' 2019",서울특별시 서대문구 증가로10길 28,02-3140-8028,2019-10-18,2019-10-19,37.5784852121,126.9238923275
10,가평 자라섬 전국 막걸리 페스티벌 2019,경기도 가평군 가평읍 달전리 1-1,02-6080-6177,2019-09-20,2019-09-22,37.8117052413,127.5309525109
11,가평씽씽송어축제 2020,경기도 가평군 가평읍 가평제방길 119,031-581-6423,2020-01-04,2020-02-16,37.8258616779,127.5174061076
