기간,자치구,세대,인구,인구_1,인구_2,인구_3,인구_4,인구_5,인구_6,인구_7,인구_8,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2018,합계,4263868,10049607,4910849,5138758,9765623,4773899,4991724,283984,136950,147034,2.29,1416131
2018,종로구,73735,163026,79156,83870,153065,74825,78240,9961,4331,5630,2.08,26742
2018,중구,61502,135633,66674,68959,125725,61947,63778,9908,4727,5181,2.04,22005
2018,용산구,108974,245090,119766,125324,228999,110640,118359,16091,9126,6965,2.1,37640
2018,성동구,137209,316463,155091,161372,308221,151359,156862,8242,3732,4510,2.25,42767
2018,광진구,162606,371063,179527,191536,355559,172794,182765,15504,6733,8771,2.19,45619
2018,동대문구,161820,364338,179774,184564,348052,173567,174485,16286,6207,10079,2.15,57165
2018,중랑구,180511,408147,202448,205699,403209,200419,202790,4938,2029,2909,2.23,61830
2018,성북구,186601,447687,216495,231192,435868,211904,223964,11819,4591,7228,2.34,67782
2018,강북구,143395,322915,157522,165393,319164,156071,163093,3751,1451,2300,2.23,58196
2018,도봉구,138087,341649,167043,174606,339413,166160,173253,2236,883,1353,2.46,55964
2018,노원구,217655,548160,265870,282290,543752,263919,279833,4408,1951,2457,2.5,77096
2018,은평구,205001,487666,235600,252066,483197,233702,249495,4469,1898,2571,2.36,77420
2018,서대문구,138549,323080,153816,169264,310313,149569,160744,12767,4247,8520,2.24,50456
2018,마포구,172505,386359,182573,203786,375077,178240,196837,11282,4333,6949,2.17,50833
2018,양천구,176498,468145,230457,237688,464185,228634,235551,3960,1823,2137,2.63,58045
2018,강서구,258503,603611,293289,310322,596949,290079,306870,6662,3210,3452,2.31,79660
2018,구로구,172457,438486,219949,218537,404497,200417,204080,33989,19532,14457,2.35,61801
2018,금천구,107971,254021,130398,123623,233917,118915,115002,20104,11483,8621,2.17,35739
2018,영등포구,171085,403600,203319,200281,367778,183224,184554,35822,20095,15727,2.15,55673
2018,동작구,177176,409385,198458,210927,396203,192533,203670,13182,5925,7257,2.24,59479
2018,관악구,262222,520040,260742,259298,501957,252160,249797,18083,8582,9501,1.91,72249
2018,서초구,172918,438163,209977,228186,433951,207868,226083,4212,2109,2103,2.51,54751
2018,강남구,228775,547453,262203,285250,542364,259611,282753,5089,2592,2497,2.37,67085
2018,송파구,270866,673507,326849,346658,666635,323526,343109,6872,3323,3549,2.46,81364
2018,강동구,177247,431920,213853,218067,427573,211816,215757,4347,2037,2310,2.41,58770
