기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2010	합계	4,224,181	10,575,447	5,236,742	5,338,705	10,312,545	5,111,259	5,201,286	262,902	125,483	137,419	17,473	605.25	2.44	1,007,572
2010	종로구	77,621	179,362	89,252	90,110	170,578	85,182	85,396	8,784	4,070	4,714	7,502	23.91	2.2	22,458
2010	중구	61,468	141,200	70,908	70,292	132,822	66,879	65,943	8,378	4,029	4,349	14,177	9.96	2.16	17,504
2010	용산구	113,204	257,143	125,832	131,311	244,853	119,482	125,371	12,290	6,350	5,940	11,759	21.87	2.16	30,996
2010	성동구	129,644	316,892	158,771	158,121	309,093	155,067	154,026	7,799	3,704	4,095	18,808	16.85	2.38	32,094
2010	광진구	159,675	388,775	192,053	196,722	375,463	186,024	189,439	13,312	6,029	7,283	22,786	17.06	2.35	32,241
2010	동대문구	158,485	379,343	190,317	189,026	366,786	184,874	181,912	12,557	5,443	7,114	26,713	14.2	2.31	42,669
2010	중랑구	176,096	432,302	216,255	216,047	427,455	214,383	213,072	4,847	1,872	2,975	23,373	18.5	2.43	41,887
2010	성북구	201,489	497,692	245,659	252,033	488,932	241,927	247,005	8,760	3,732	5,028	20,260	24.57	2.43	53,243
2010	강북구	142,711	350,007	173,373	176,634	346,520	172,109	174,411	3,487	1,264	2,223	14,824	23.61	2.43	41,702
2010	도봉구	140,603	370,734	183,283	187,451	368,298	182,407	185,891	2,436	876	1,560	17,908	20.7	2.62	38,214
2010	노원구	228,022	615,425	301,141	314,284	611,230	299,384	311,846	4,195	1,757	2,438	17,367	35.44	2.68	57,049
2010	은평구	196,390	492,925	242,564	250,361	488,109	240,536	247,573	4,816	2,028	2,788	16,601	29.69	2.49	53,779
2010	서대문구	138,473	333,871	162,823	171,048	324,541	158,857	165,684	9,330	3,966	5,364	18,968	17.6	2.34	39,497
2010	마포구	170,531	400,464	195,145	205,319	391,865	191,034	200,831	8,599	4,111	4,488	16,776	23.87	2.3	41,457
2010	양천구	183,718	505,223	251,368	253,855	500,001	249,024	250,977	5,222	2,344	2,878	29,020	17.41	2.72	39,067
2010	강서구	225,313	580,506	286,324	294,182	574,127	283,248	290,879	6,379	3,076	3,303	14,015	41.42	2.55	50,349
2010	구로구	170,317	452,667	229,189	223,478	423,736	214,032	209,704	28,931	15,157	13,774	22,499	20.12	2.49	39,389
2010	금천구	103,412	264,544	135,717	128,827	245,195	125,528	119,667	19,349	10,189	9,160	20,350	13	2.37	23,995
2010	영등포구	171,791	445,648	225,127	220,521	406,833	205,106	201,727	38,815	20,021	18,794	18,141	24.57	2.37	42,764
2010	동작구	167,887	413,814	203,608	210,206	402,709	198,587	204,122	11,105	5,021	6,084	25,312	16.35	2.4	42,539
2010	관악구	247,588	549,736	278,445	271,291	531,434	269,783	261,651	18,302	8,662	9,640	18,592	29.57	2.15	50,663
2010	서초구	170,882	440,021	213,200	226,821	434,720	210,652	224,068	5,301	2,548	2,753	9,361	47	2.54	37,131
2010	강남구	234,345	577,070	277,932	299,138	570,095	274,303	295,792	6,975	3,629	3,346	14,596	39.54	2.43	44,229
2010	송파구	264,364	693,144	339,868	353,276	685,279	336,359	348,920	7,865	3,509	4,356	20,460	33.88	2.59	53,156
2010	강동구	190,152	496,939	248,588	248,351	491,871	246,492	245,379	5,068	2,096	2,972	20,217	24.58	2.59	39,500
2011	합계	4,192,752	10,528,774	5,208,492	5,320,282	10,249,679	5,073,899	5,175,780	279,095	134,593	144,502	17,397	605.21	2.44	1,049,425
2011	종로구	76,688	177,419	88,107	89,312	168,382	83,931	84,451	9,037	4,176	4,861	7,421	23.91	2.2	22,939
2011	중구	61,475	141,567	71,137	70,430	133,193	67,065	66,128	8,374	4,072	4,302	14,212	9.96	2.17	18,099
2011	용산구	112,617	259,288	126,735	132,553	246,501	120,183	126,318	12,787	6,552	6,235	11,857	21.87	2.19	31,837
2011	성동구	126,148	308,767	154,511	154,256	300,711	150,655	150,056	8,056	3,856	4,200	18,325	16.85	2.38	32,767
2011	광진구	158,472	386,673	190,867	195,806	371,936	184,103	187,833	14,737	6,764	7,973	22,661	17.06	2.35	33,613
2011	동대문구	157,823	378,534	189,538	188,996	365,486	183,925	181,561	13,048	5,613	7,435	26,653	14.2	2.32	44,368
2011	중랑구	175,115	428,672	214,258	214,414	423,706	212,291	211,415	4,966	1,967	2,999	23,175	18.5	2.42	43,745
2011	성북구	199,398	494,422	243,639	250,783	485,171	239,726	245,445	9,251	3,913	5,338	20,125	24.57	2.43	55,213
2011	강북구	142,527	348,740	172,309	176,431	345,054	170,906	174,148	3,686	1,403	2,283	14,780	23.6	2.42	43,507
2011	도봉구	139,348	367,949	181,911	186,038	365,573	181,004	184,569	2,376	907	1,469	17,774	20.7	2.62	39,810
2011	노원구	225,104	608,062	297,308	310,754	603,930	295,551	308,379	4,132	1,757	2,375	17,160	35.44	2.68	58,642
2011	은평구	197,582	498,350	244,730	253,620	493,634	242,779	250,855	4,716	1,951	2,765	16,782	29.69	2.5	56,595
2011	서대문구	134,730	324,529	158,160	166,369	314,852	154,033	160,819	9,677	4,127	5,550	18,434	17.6	2.34	40,041
2011	마포구	168,640	398,627	193,539	205,088	389,493	189,243	200,250	9,134	4,296	4,838	16,720	23.84	2.31	42,610
2011	양천구	182,677	505,605	251,346	254,259	500,210	248,927	251,283	5,395	2,419	2,976	29,049	17.41	2.74	41,110
2011	강서구	223,490	575,846	283,662	292,184	569,072	280,274	288,798	6,774	3,388	3,386	13,901	41.43	2.55	52,314
2011	구로구	171,064	458,908	232,056	226,852	427,468	215,474	211,994	31,440	16,582	14,858	22,806	20.12	2.5	41,992
2011	금천구	103,600	264,256	135,604	128,652	243,438	124,665	118,773	20,818	10,939	9,879	20,326	13	2.35	25,089
2011	영등포구	168,850	439,555	221,913	217,642	397,443	199,987	197,456	42,112	21,926	20,186	17,892	24.57	2.35	43,891
2011	동작구	167,099	413,658	203,341	210,317	401,408	197,672	203,736	12,250	5,669	6,581	25,296	16.35	2.4	44,287
2011	관악구	246,979	546,350	276,675	269,675	526,397	267,145	259,252	19,953	9,530	10,423	18,478	29.57	2.13	53,022
2011	서초구	168,988	439,012	212,636	226,376	433,564	209,902	223,662	5,448	2,734	2,714	9,340	47	2.57	39,035
2011	강남구	231,983	573,003	275,906	297,097	565,710	271,991	293,719	7,293	3,915	3,378	14,501	39.51	2.44	47,187
2011	송파구	261,963	690,466	338,344	352,122	682,209	334,494	347,715	8,257	3,850	4,407	20,382	33.88	2.6	55,456
2011	강동구	190,392	500,516	250,260	250,256	495,138	247,973	247,165	5,378	2,287	3,091	20,359	24.59	2.6	42,256
2012	합계	4,177,970	10,442,426	5,159,665	5,282,761	10,195,318	5,041,336	5,153,982	247,108	118,329	128,779	17,255	605.18	2.44	1,110,995
2012	종로구	75,659	173,148	85,997	87,151	165,207	82,274	82,933	7,941	3,723	4,218	7,243	23.91	2.18	23,868
2012	중구	61,546	140,807	70,762	70,045	133,360	67,043	66,317	7,447	3,719	3,728	14,136	9.96	2.17	18,875
2012	용산구	110,706	255,294	124,708	130,586	243,232	118,461	124,771	12,062	6,247	5,815	11,674	21.87	2.2	33,027
